Date,AA,CAT,DIS,GM,HPQ,JNJ,MCD,MMM,MO,MRK,MSFT,PFE,PG,T,XOM
2024-11-08,44.21,387.52,98.16,55.0,35.38,150.6,292.15,131.72,50.38,99.24,419.39,24.92,163.39,21.38,116.88
2024-11-11,42.96,390.64,99.99,57.05,36.2,150.19,294.65,130.4,50.27,97.13,414.9,24.47,161.76,21.35,116.27
2024-11-12,40.43,387.16,100.12,56.81,35.66,147.86,291.84,127.8,50.74,95.06,419.88,24.42,161.57,21.2,116.15
2024-11-13,40.08,381.31,101.83,57.1,35.37,148.44,290.57,128.88,51.5,94.98,422.03,24.92,162.29,21.34,117.23
2024-11-14,40.69,381.6,108.18,57.01,35.07,147.11,291.75,129.74,51.63,94.85,423.71,24.26,162.78,21.3,117.31
2024-11-15,43.46,378.36,114.09,56.44,35.29,149.18,285.96,127.93,52.13,92.87,411.91,23.13,165.18,21.71,116.09
2024-11-18,43.42,378.74,112.56,55.66,35.97,149.92,284.46,128.31,52.51,93.11,412.66,23.18,166.35,22.0,117.07
2024-11-19,45.02,376.64,111.45,54.53,35.43,148.21,284.1,126.36,52.07,93.09,414.68,23.41,166.36,21.76,115.43
2024-11-20,45.16,375.82,113.27,54.29,35.25,148.32,284.28,126.01,52.18,93.96,412.39,23.26,166.49,21.85,117.08
2024-11-21,45.86,383.79,113.73,55.1,36.43,150.63,281.89,125.5,52.22,96.29,410.61,23.43,168.3,21.99,118.64
2024-11-22,44.9,391.58,114.65,57.92,36.64,150.31,283.66,126.58,52.88,95.64,414.72,23.92,171.74,22.19,118.51
2024-11-25,46.62,399.62,115.0,59.57,37.77,150.9,289.43,128.45,52.9,97.55,416.5,24.4,172.82,22.11,116.74
2024-11-26,46.82,401.76,114.45,54.21,37.57,150.88,289.57,131.05,53.68,97.99,425.65,24.03,174.69,22.1,114.79
2024-11-27,45.3,397.69,116.58,54.92,33.31,151.74,288.35,130.58,53.73,99.44,420.68,24.09,174.74,22.27,114.49
2024-11-29,45.84,400.07,116.46,55.01,34.05,151.36,289.26,131.62,53.82,98.01,421.15,24.44,174.65,22.17,114.78
2024-12-02,45.12,396.52,116.15,54.46,35.03,151.16,287.49,130.99,53.3,97.02,428.62,24.08,175.07,21.73,114.67
2024-12-03,45.32,393.32,115.44,53.1,35.35,148.77,289.51,129.27,53.03,98.21,428.84,23.84,170.9,22.72,114.5
2024-12-04,45.29,393.57,115.98,52.8,34.94,146.93,290.09,128.58,52.62,97.75,435.03,23.53,170.6,22.52,111.2
2024-12-05,45.59,389.1,115.49,52.83,34.76,146.0,294.4,131.42,53.04,99.85,440.2,23.97,171.5,22.81,111.68
2024-12-06,41.95,389.15,115.72,52.97,34.79,145.8,293.92,131.2,53.43,99.41,441.15,23.99,169.35,22.86,110.51
2024-12-09,41.46,393.32,113.62,52.27,35.03,146.08,296.27,129.61,52.07,100.08,443.58,24.34,166.39,22.37,109.86
2024-12-10,40.57,382.61,113.74,52.3,33.58,145.72,295.62,127.91,51.72,97.39,440.91,23.84,167.85,22.5,109.63
2024-12-11,39.04,383.08,113.62,51.61,33.48,143.19,291.09,127.91,50.98,96.19,446.54,23.53,166.24,22.47,108.9
2024-12-12,39.12,375.12,113.91,51.87,33.89,142.8,291.61,127.89,51.25,97.63,447.1,23.66,166.45,22.36,108.8
2024-12-13,38.63,374.85,112.36,52.1,33.48,143.17,291.58,128.06,51.19,98.36,444.83,23.85,166.66,22.62,107.85
2024-12-16,37.97,373.28,111.63,51.81,33.13,140.46,292.67,127.62,50.98,97.26,449.12,23.55,166.73,21.86,105.55
2024-12-17,37.95,370.21,112.54,50.73,32.79,142.96,291.07,126.22,50.45,97.26,451.98,24.65,165.95,21.85,105.1
2024-12-18,36.84,358.48,110.88,49.58,31.48,141.34,285.96,123.73,49.63,95.59,435.0,24.14,164.73,21.52,103.55
2024-12-19,36.16,355.01,110.9,49.92,31.45,140.2,285.32,125.31,49.39,96.73,434.64,24.03,164.84,21.6,102.66
2024-12-20,37.36,360.59,111.55,51.38,31.92,141.07,287.73,127.43,50.18,95.31,434.21,24.58,163.73,21.77,103.02
2024-12-23,38.09,359.95,110.93,52.13,32.2,141.85,286.36,127.13,49.94,96.59,432.87,24.91,163.78,21.86,103.43
2024-12-24,38.12,362.1,112.08,53.07,32.4,142.42,289.01,128.49,49.84,96.67,436.93,24.94,164.59,21.97,103.53
2024-12-26,37.87,361.66,112.07,53.73,32.39,142.15,289.81,129.3,49.98,97.07,435.72,24.77,165.78,21.98,103.62
2024-12-27,37.2,359.43,111.08,53.83,32.25,141.64,288.65,128.32,49.77,96.91,428.18,24.82,165.17,21.88,103.61
2024-12-30,36.68,357.61,110.33,53.22,31.62,139.97,284.7,127.28,49.49,95.62,422.51,24.64,162.79,21.64,102.91
2024-12-31,37.3,357.36,110.88,52.83,31.62,141.22,284.98,127.24,49.69,96.7,419.2,24.74,163.33,21.79,104.67
2025-01-02,37.51,354.42,110.35,50.94,31.46,140.63,287.56,127.84,49.89,96.39,416.29,24.81,161.71,21.85,104.42
2025-01-03,35.26,358.38,110.69,51.34,32.11,140.8,289.79,128.01,50.49,96.36,421.04,24.8,160.88,21.7,104.95
2025-01-06,36.03,358.78,110.58,53.09,32.82,140.28,287.23,128.43,49.5,96.93,425.51,25.08,156.47,21.63,104.83
2025-01-07,35.78,357.6,110.92,51.55,32.63,142.79,284.44,130.87,48.9,98.19,420.06,25.3,157.15,21.25,105.82
